,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.815077424049,0.0232591629028,0.873128742515,0.984730538922,10,{'n_estimators': 10},4,0.871706586826,0.98502994012,0.874550898204,0.984431137725,0.0156255960464,0.000391006469727,0.00142215568862,0.000299401197605
1,8.07410740852,0.211370587349,0.88001497006,1.0,100,{'n_estimators': 100},1,0.877395209581,1.0,0.882634730539,1.0,0.221374511719,0.00218045711517,0.00261976047904,0.0
2,40.5017169714,1.03352856636,0.877245508982,1.0,500,{'n_estimators': 500},3,0.876796407186,1.0,0.877694610778,1.0,0.922878861427,0.0341095924377,0.000449101796407,0.0
3,81.5611870289,2.2092089653,0.878368263473,1.0,1000,{'n_estimators': 1000},2,0.87754491018,1.0,0.879191616766,1.0,1.22054100037,0.0819909572601,0.000823353293413,0.0
0,0.811607122421,0.0230513811111,0.881062874251,0.985853293413,10,{'n_estimators': 10},4,0.881586826347,0.984730538922,0.880538922156,0.986976047904,0.00472807884216,0.000606417655945,0.000523952095808,0.00112275449102
1,7.91044545174,0.212114095688,0.886676646707,0.999850299401,100,{'n_estimators': 100},3,0.886676646707,0.999850299401,0.886676646707,0.999850299401,0.114346504211,0.00342702865601,0.0,0.0
2,40.018497467,1.04559898376,0.887050898204,1.0,500,{'n_estimators': 500},2,0.887425149701,1.0,0.886676646707,1.0,0.0245254039764,0.00110006332397,0.000374251497006,0.0
3,79.9045929909,2.09353649616,0.887425149701,1.0,1000,{'n_estimators': 1000},1,0.887125748503,1.0,0.887724550898,1.0,0.565525054932,0.166363358498,0.000299401197605,0.0
