,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.119985938072,0.0139445066452,0.749170407964,0.982432168651,10,{'n_estimators': 10},4,0.749951200468,0.980675385516,0.74838961546,0.984188951786,0.000533938407898,0.000133395195007,0.000780792504392,0.00175678313488
1,1.22892606258,0.13703250885,0.761760687097,0.998536014054,100,{'n_estimators': 100},3,0.759906304899,0.997657622487,0.763615069295,0.999414405622,0.0247730016708,0.00161957740784,0.00185438219793,0.000878391567441
2,6.06709349155,0.6616294384,0.766055045872,0.998536014054,500,{'n_estimators': 500},2,0.765176654304,0.997657622487,0.766933437439,0.999414405622,0.0456753969193,0.00361657142639,0.000878391567441,0.000878391567441
3,11.8948359489,1.30060148239,0.766738239313,0.998536014054,1000,{'n_estimators': 1000},1,0.765176654304,0.997657622487,0.768299824322,0.999414405622,0.0388610363007,0.0257306098938,0.00156158500878,0.000878391567441
0,0.120542526245,0.0143855810165,0.747365339578,0.981264637002,10,{'n_estimators': 10},4,0.748633879781,0.978337236534,0.746096799375,0.984192037471,0.00325345993042,0.000259518623352,0.00126854020297,0.00292740046838
1,1.23268795013,0.140823483467,0.757611241218,0.998926619828,100,{'n_estimators': 100},3,0.755074160812,0.998633879781,0.760148321624,0.999219359875,0.0202119350433,0.00225651264191,0.00253708040593,0.000292740046838
2,6.15380859375,0.695173382759,0.759074941452,0.998926619828,500,{'n_estimators': 500},2,0.755269320843,0.998633879781,0.762880562061,0.999219359875,0.0307035446167,0.00245249271393,0.0038056206089,0.000292740046838
3,12.0471400023,1.34690248966,0.762099921936,0.998926619828,1000,{'n_estimators': 1000},1,0.757416081187,0.998633879781,0.766783762685,0.999219359875,0.13848388195,0.0336545705795,0.00468384074941,0.000292740046838
