,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.214606165886,0.0114233493805,0.749018645731,0.984543670265,10,{'n_estimators': 10},4,0.744357212954,0.987242394504,0.753680078508,0.981844946026,0.0040899515152,4.55379486084e-05,0.00466143277723,0.00269872423945
1,2.08606398106,0.0993475914001,0.768645731109,0.999754661433,100,{'n_estimators': 100},3,0.762512266928,0.999509322866,0.774779195289,1.0,0.000129818916321,0.00152540206909,0.00613346418057,0.000245338567223
2,10.718360424,0.531919002533,0.769136408243,1.0,500,{'n_estimators': 500},2,0.763493621197,1.0,0.774779195289,1.0,0.402011394501,0.0585379600525,0.00564278704612,0.0
3,21.1434919834,0.972229480743,0.770117762512,1.0,1000,{'n_estimators': 1000},1,0.765947006869,1.0,0.774288518155,1.0,0.157536029816,0.00643348693848,0.00417075564279,0.0
0,0.210458993912,0.0119084119797,0.765947006869,0.982826300294,10,{'n_estimators': 10},4,0.760058881256,0.979882237488,0.771835132483,0.985770363101,0.00376892089844,0.000550389289856,0.00588812561335,0.00294406280667
1,2.09014296532,0.104393959045,0.777477919529,1.0,100,{'n_estimators': 100},3,0.778704612365,1.0,0.776251226693,1.0,0.0718379020691,0.00176191329956,0.00122669283611,0.0
2,10.2139928341,0.491108059883,0.780667320903,1.0,500,{'n_estimators': 500},2,0.777723258096,1.0,0.78361138371,1.0,0.335947036743,0.00507700443268,0.00294406280667,0.0
3,20.1985183954,1.34590411186,0.78361138371,1.0,1000,{'n_estimators': 1000},1,0.780667320903,1.0,0.786555446516,1.0,0.359843611717,0.409524917603,0.00294406280667,0.0
