,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_class_weight,param_penalty,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
19,0.332794070244,0.00161600112915,0.739312902596,0.747511223892,100,balanced,l2,"{'penalty': 'l2', 'C': 100, 'class_weight': 'balanced'}",9,0.742728869803,0.752683974234,0.735896935389,0.742338473551,0.0608240365982,5.96046447754e-06,0.00341596720671,0.0051727503416
0,0.0222946405411,0.00150990486145,0.673302107728,0.670765027322,0.01,,l1,"{'penalty': 'l1', 'C': 0.01, 'class_weight': None}",18,0.68306010929,0.673887587822,0.663544106167,0.667642466823,0.00460755825043,5.29289245605e-05,0.00975800156128,0.00312256049961
1,0.0490294694901,0.00163447856903,0.671740827479,0.682767369243,0.01,,l2,"{'penalty': 'l2', 'C': 0.01, 'class_weight': None}",19,0.677985948478,0.689305230289,0.665495706479,0.676229508197,0.000651478767395,3.34978103638e-05,0.00624512099922,0.00653786104606
2,0.0213655233383,0.00160050392151,0.665593286495,0.665593286495,0.01,balanced,l1,"{'penalty': 'l1', 'C': 0.01, 'class_weight': 'balanced'}",20,0.667642466823,0.663544106167,0.663544106167,0.667642466823,0.000186562538147,1.95503234863e-05,0.00204918032787,0.00204918032787
3,0.048800945282,0.00153601169586,0.680132708821,0.685987509758,0.01,balanced,l2,"{'penalty': 'l2', 'C': 0.01, 'class_weight': 'balanced'}",17,0.678961748634,0.681108508977,0.681303669009,0.690866510539,0.00026798248291,2.02655792236e-06,0.00117096018735,0.00487900078064
4,0.0311145782471,0.00153148174286,0.724141295863,0.727068696331,0.1,,l1,"{'penalty': 'l1', 'C': 0.1, 'class_weight': None}",11,0.725409836066,0.72775175644,0.72287275566,0.726385636222,5.14984130859e-05,5.35249710083e-05,0.00126854020297,0.00068306010929
5,0.0842685699463,0.00161552429199,0.719067135051,0.724434035909,0.1,,l2,"{'penalty': 'l2', 'C': 0.1, 'class_weight': None}",16,0.719359875098,0.724434035909,0.718774395004,0.724434035909,0.00691652297974,2.05039978027e-05,0.000292740046838,0.0
6,0.0303155183792,0.00161147117615,0.72531225605,0.7268735363,0.1,balanced,l1,"{'penalty': 'l1', 'C': 0.1, 'class_weight': 'balanced'}",5,0.725604996097,0.72619047619,0.725019516003,0.727556596409,2.84910202026e-05,3.74317169189e-05,0.000292740046838,0.00068306010929
7,0.0912774801254,0.00161409378052,0.720823575332,0.723360655738,0.1,balanced,l2,"{'penalty': 'l2', 'C': 0.1, 'class_weight': 'balanced'}",15,0.720921155347,0.724824355972,0.720725995316,0.721896955504,0.0019725561142,2.59876251221e-05,9.75800156128e-05,0.00146370023419
8,0.0845890045166,0.00165855884552,0.72619047619,0.73331381733,1,,l1,"{'penalty': 'l1', 'C': 1, 'class_weight': None}",3,0.728532396565,0.733801717408,0.723848555816,0.732825917252,0.00796389579773,4.85181808472e-05,0.00234192037471,0.000487900078064
9,0.153908133507,0.00159394741058,0.7268735363,0.731362217018,1,,l2,"{'penalty': 'l2', 'C': 1, 'class_weight': None}",2,0.728922716628,0.733216237315,0.724824355972,0.729508196721,0.0113559961319,2.98023223877e-06,0.00204918032787,0.00185402029664
10,0.0671329498291,0.00173056125641,0.72619047619,0.730776736924,1,balanced,l1,"{'penalty': 'l1', 'C': 1, 'class_weight': 'balanced'}",3,0.729117876659,0.729898516784,0.723263075722,0.731654957065,0.00531888008118,1.060962677e-05,0.00292740046838,0.000878220140515
11,0.165369510651,0.00163996219635,0.727068696331,0.731459797034,1,balanced,l2,"{'penalty': 'l2', 'C': 1, 'class_weight': 'balanced'}",1,0.730483996877,0.73087431694,0.723653395785,0.732045277127,0.0155835151672,3.30209732056e-05,0.00341530054645,0.000585480093677
12,0.360932588577,0.00166749954224,0.724336455894,0.733411397346,10,,l1,"{'penalty': 'l1', 'C': 10, 'class_weight': None}",8,0.72775175644,0.734192037471,0.720921155347,0.732630757221,0.0924205780029,1.14440917969e-05,0.00341530054645,0.000780640124902
13,0.235761523247,0.00161039829254,0.724336455894,0.73331381733,10,,l2,"{'penalty': 'l2', 'C': 10, 'class_weight': None}",8,0.72775175644,0.733801717408,0.720921155347,0.732825917252,0.016198515892,8.46385955811e-06,0.00341530054645,0.000487900078064
14,0.696588873863,0.00170755386353,0.72531225605,0.732142857143,10,balanced,l1,"{'penalty': 'l1', 'C': 10, 'class_weight': 'balanced'}",5,0.729117876659,0.731654957065,0.721506635441,0.732630757221,0.506523966789,4.76837158203e-07,0.0038056206089,0.000487900078064
15,0.241853952408,0.00164604187012,0.725019516003,0.732338017174,10,balanced,l2,"{'penalty': 'l2', 'C': 10, 'class_weight': 'balanced'}",7,0.728922716628,0.731850117096,0.721116315379,0.732825917252,0.00678396224976,4.05311584473e-06,0.00390320062451,0.000487900078064
16,0.313773036003,0.00181543827057,0.724043715847,0.733411397346,100,,l1,"{'penalty': 'l1', 'C': 100, 'class_weight': None}",13,0.727166276347,0.734387197502,0.720921155347,0.73243559719,0.110900998116,6.35385513306e-05,0.00312256049961,0.000975800156128
17,0.2787951231,0.00172996520996,0.7237509758,0.733021077283,100,,l2,"{'penalty': 'l2', 'C': 100, 'class_weight': None}",14,0.727166276347,0.73399687744,0.720335675254,0.732045277127,0.00373995304108,9.79900360107e-05,0.00341530054645,0.000975800156128
18,0.325786948204,0.00169205665588,0.724141295863,0.732630757221,100,balanced,l1,"{'penalty': 'l1', 'C': 100, 'class_weight': 'balanced'}",11,0.728727556596,0.733216237315,0.719555035129,0.732045277127,0.0477169752121,4.31537628174e-05,0.0045862607338,0.000585480093677
19,0.276708006859,0.00161552429199,0.724238875878,0.732533177205,100,balanced,l2,"{'penalty': 'l2', 'C': 100, 'class_weight': 'balanced'}",10,0.728922716628,0.733021077283,0.719555035129,0.732045277127,0.00216686725616,4.52995300293e-06,0.00468384074941,0.000487900078064
