,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_layers,param_optim,param_units1,param_units2,param_units3,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,7133.98763263,47.4601644278,0.749756002348,0.752391177051,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",5,0.750536794858,0.757563927386,0.748975209838,0.747218426715,24.0252205133,0.052635550499,0.000780792510209,0.00517275033578
1,2795.52245843,19.0781109333,0.786062853808,0.790845207898,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",1,0.78547725943,0.791138005087,0.786648448187,0.790552410708,2.31559741497,0.194712877274,0.000585594378294,0.000292797189147
2,10424.5897641,65.9031389952,0.777181339071,0.781085301593,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",3,0.77298457936,0.776888541882,0.781378098782,0.785282061304,80.5542509556,0.511242985725,0.00419675971111,0.00419675971111
3,5978.52551448,44.3737068176,0.768983017775,0.780109310962,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",4,0.78098770253,0.784891665052,0.75697833302,0.775326956873,5.27816450596,0.796350002289,0.012004684755,0.0047823540894
4,8427.42319953,54.5755546093,0.780694905341,0.785184462241,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",2,0.780011711899,0.785672457556,0.781378098782,0.784696466926,23.7283965349,0.283153533936,0.000683193441343,0.000487995315245
0,7112.86076546,49.526920557,0.741900858704,0.745511319282,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",4,0.745316159251,0.757611241218,0.738485558158,0.733411397346,9.98901939392,0.775915622711,0.00341530054645,0.012099921936
1,2753.87577641,20.3613905907,0.764734582358,0.777517564403,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",2,0.771077283372,0.782591725215,0.758391881343,0.772443403591,0.0320945978165,0.133723497391,0.00634270101483,0.00507416081187
2,10256.5679295,66.5620783567,0.736631537861,0.737119437939,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",5,0.734387197502,0.741608118657,0.73887587822,0.732630757221,37.5366604328,1.17120850086,0.00224434035909,0.00448868071819
3,5985.27927208,45.8548589945,0.764149102264,0.765027322404,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",3,0.76268540203,0.771857923497,0.765612802498,0.758196721311,13.039839983,0.639871001244,0.00146370023419,0.0068306010929
4,8573.74837244,57.1054810286,0.77712724434,0.779664324746,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",1,0.775370804059,0.779469164715,0.778883684621,0.779859484778,13.806058526,0.18601000309,0.00175644028103,0.000195160031226
