,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.412662982941,0.0179400444031,0.80241994983,0.981112673372,10,{'n_estimators': 10},4,0.799350840956,0.981700118064,0.805489964581,0.980525228681,0.00525903701782,9.79900360107e-05,0.003069561779,0.000587444691364
1,3.9305421114,0.159956932068,0.811568540652,1.0,100,{'n_estimators': 100},3,0.810858660372,1.0,0.81227863046,1.0,0.127200961113,0.0148611068726,0.000709985036599,0.0
2,20.3091440201,0.699591040611,0.814519698982,1.0,500,{'n_estimators': 500},1,0.813219238713,1.0,0.815820543093,1.0,0.291127920151,0.0420719385147,0.00130065217573,0.0
3,37.9031945467,1.28775799274,0.814519698982,1.0,1000,{'n_estimators': 1000},1,0.814694600177,1.0,0.814344746163,1.0,0.377173542976,0.00734603404999,0.000174927005153,0.0
0,0.369583487511,0.0158865451813,0.821750036889,0.98376854174,10,{'n_estimators': 10},4,0.814694600177,0.983175914994,0.82880755608,0.984361168486,0.00687038898468,0.000579595565796,0.0070564778748,0.000592626746091
1,3.69370543957,0.143620014191,0.825586542718,1.0,100,{'n_estimators': 100},3,0.820300973739,1.0,0.830873671783,1.0,0.0199855566025,0.00203895568848,0.00528634896455,0.0
2,18.4892909527,0.660960555077,0.828980374797,1.0,500,{'n_estimators': 500},1,0.824727058129,1.0,0.833234946871,1.0,0.231064081192,0.0194765329361,0.00425394432472,0.0
3,36.557821393,1.23281943798,0.828980374797,1.0,1000,{'n_estimators': 1000},1,0.825022130422,1.0,0.832939787485,1.0,0.631357550621,0.0534964799881,0.00395882848855,0.0
