,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_layers,param_optim,param_units1,param_units2,param_units3,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1830.32234514,13.1799154282,0.755807144263,0.760882295542,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",4,0.752293577993,0.757759125524,0.759320710533,0.764005465559,1.49390900135,0.0230345726013,0.00351356626976,0.00312317001757
1,730.936571598,5.46748542786,0.775424555936,0.774546164368,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",1,0.776107749377,0.772594183107,0.774741362495,0.776498145629,0.041526556015,0.0718424320221,0.000683193441343,0.00195198126098
2,2636.06199658,17.8295824528,0.764298262748,0.762053484298,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",3,0.768690220586,0.762639078676,0.759906304911,0.76146788992,1.14516150951,0.0679304599762,0.0043919578372,0.000585594378294
3,1531.76002657,12.3810379505,0.74643763421,0.748780011721,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",5,0.755416748011,0.763419871181,0.73745852041,0.73414015226,0.250183463097,0.0739459991455,0.00897911380051,0.0146398594603
4,2198.03498054,14.9082643986,0.7673238337,0.770154206531,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",2,0.766738239319,0.768690220586,0.767909428081,0.771618192477,4.81377840042,0.00310349464417,0.000585594381203,0.00146398594573
0,1827.35087764,14.3422324657,0.762392661983,0.761319281811,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",3,0.763661202186,0.758196721311,0.76112412178,0.764441842311,1.65910351276,0.0438604354858,0.00126854020297,0.00312256049961
1,724.393663049,6.65182447433,0.758099141296,0.765807962529,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",4,0.778298204528,0.77380952381,0.737900078064,0.757806401249,3.88147413731,0.0141494274139,0.0201990632319,0.00800156128025
2,2598.2118541,18.6084053516,0.756049960968,0.75712334114,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",5,0.764832162373,0.759758001561,0.747267759563,0.754488680718,8.42813313007,0.0740594863892,0.00878220140515,0.00263466042155
3,1517.16583633,13.4532020092,0.771760343482,0.77156518345,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",2,0.773224043716,0.768149882904,0.770296643247,0.774980483997,0.0213475227356,0.0225119590759,0.00146370023419,0.00341530054645
4,2190.31178153,16.4631060362,0.771857923497,0.775370804059,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",1,0.775175644028,0.77224824356,0.768540202966,0.778493364559,4.55605447292,0.064857840538,0.00331772053084,0.00312256049961
