,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.738491535187,0.0189889669418,0.759223111458,0.983115362093,10,{'n_estimators': 10},4,0.758344719891,0.982822564903,0.760101503026,0.983408159282,0.0128915309906,0.000519871711731,0.000878391567441,0.000292797189147
1,7.20211291313,0.16396355629,0.778742924068,0.998633613117,100,{'n_estimators': 100},3,0.78040210814,0.998243216865,0.777083739996,0.99902400937,0.0716550350189,0.00219345092773,0.00165918407183,0.000390396252196
2,36.2660995722,0.830335497856,0.779816513761,0.998633613117,500,{'n_estimators': 500},2,0.782549287527,0.998243216865,0.777083739996,0.99902400937,0.824937462807,0.0116826295853,0.00273277376537,0.000390396252196
3,71.6138526201,1.60052585602,0.780109310951,0.998633613117,1000,{'n_estimators': 1000},1,0.780597306266,0.998243216865,0.779621315635,0.99902400937,0.759160399437,0.00270295143127,0.000487995315245,0.000390396252196
0,0.744915604591,0.0183429718018,0.771370023419,0.981947697112,10,{'n_estimators': 10},4,0.771467603435,0.983606557377,0.771272443404,0.980288836846,0.00294744968414,0.000221014022827,9.75800156128e-05,0.00165886026542
1,7.31640481949,0.166249155998,0.784543325527,0.997658079625,100,{'n_estimators': 100},3,0.78669008587,0.997658079625,0.782396565183,0.997658079625,0.0255780220032,0.00124204158783,0.00214676034348,0.0
2,36.2724900246,0.799801826477,0.786592505855,0.997658079625,500,{'n_estimators': 500},1,0.78825136612,0.997658079625,0.784933645589,0.997658079625,0.15708398819,0.00709295272827,0.00165886026542,0.0
3,72.6230674982,1.61634707451,0.786397345824,0.997658079625,1000,{'n_estimators': 1000},2,0.787861046058,0.997658079625,0.784933645589,0.997658079625,0.425305485725,0.00384092330933,0.00146370023419,0.0
