,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.31259858608,0.029989361763,0.909992706054,0.989350822227,10,{'n_estimators': 10},4,0.912185159973,0.989009920249,0.907800038903,0.989691724205,0.00198757648468,0.000520586967468,0.00219256053232,0.00034090197801
1,13.0588719845,0.271638512611,0.913202042305,1.0,100,{'n_estimators': 100},3,0.913838374015,1.0,0.912565648706,1.0,0.160979986191,0.00179350376129,0.000636362653692,0.0
2,65.2096164227,1.43605494499,0.914271821055,1.0,500,{'n_estimators': 500},2,0.915102596519,1.0,0.913440964793,1.0,0.581803560257,0.0686509609222,0.00083081586186,0.0
3,129.695147038,2.73366343975,0.914369073669,1.0,1000,{'n_estimators': 1000},1,0.915686083828,1.0,0.913051935421,1.0,2.32472705841,0.0957735776901,0.00131707420172,0.0
0,1.38081598282,0.032425403595,0.912326768782,0.988961807042,10,{'n_estimators': 10},4,0.912282407858,0.988523633534,0.912371134021,0.98939998055,0.0174949169159,0.000183582305908,4.43630814422e-05,0.000438173508046
1,12.8652714491,0.27389216423,0.916751762704,0.999854123444,100,{'n_estimators': 100},3,0.918603520373,0.999902742657,0.914899824937,0.99980550423,0.291452527046,0.00185394287109,0.00185184771614,4.86192133938e-05
2,63.8313164711,1.34797596931,0.917189399465,1.0,500,{'n_estimators': 500},1,0.918409024604,1.0,0.915969655709,1.0,0.61888551712,0.0099048614502,0.00121968444591,0.0
3,126.043961048,2.94220340252,0.916849015317,1.0,1000,{'n_estimators': 1000},2,0.917922785179,1.0,0.915775141023,1.0,1.42303705215,0.462054610252,0.00107382207687,0.0
