,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.664737939835,0.0192145109177,0.743802459496,0.977064220183,10,{'n_estimators': 10},4,0.747023228577,0.975014639859,0.740581690416,0.979113800508,0.0153241157532,5.54323196411e-05,0.00322076908062,0.00204958032403
1,6.28303742409,0.183070540428,0.759320710521,0.992289674019,100,{'n_estimators': 100},3,0.759320710521,0.991020886199,0.759320710521,0.993558461839,0.0099995136261,0.00330746173859,0.0,0.00126878781964
2,31.6560655832,0.880561470985,0.76185828616,0.992387273082,500,{'n_estimators': 500},2,0.764200663674,0.991216084326,0.759515908647,0.993558461839,0.266906380653,0.00808441638947,0.00234237751318,0.00117118875659
3,63.1296339035,1.75295853615,0.762053484287,0.992387273082,1000,{'n_estimators': 1000},1,0.765176654304,0.991216084326,0.758930314269,0.993558461839,0.248027086258,0.00730657577515,0.00312317001757,0.00117118875659
0,0.67339849472,0.0197705030441,0.732533177205,0.978142076503,10,{'n_estimators': 10},4,0.722287275566,0.976971116315,0.742779078845,0.97931303669,0.0119163990021,0.000525593757629,0.0102459016393,0.00117096018735
1,6.49441313744,0.17310988903,0.7468774395,0.993169398907,100,{'n_estimators': 100},3,0.736338797814,0.992388758782,0.757416081187,0.993950039032,0.00288796424866,0.00172102451324,0.0105386416862,0.000780640124902
2,32.7730035782,0.885087966919,0.747170179547,0.993169398907,500,{'n_estimators': 500},2,0.736924277908,0.992388758782,0.757416081187,0.993950039032,0.00739550590515,0.00228691101074,0.0102459016393,0.000780640124902
3,64.8476970196,1.76183748245,0.74843871975,0.993169398907,1000,{'n_estimators': 1000},1,0.739461358314,0.992388758782,0.757416081187,0.993950039032,0.19165802002,0.00930047035217,0.00897736143638,0.000780640124902
