,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_layers,param_optim,param_units1,param_units2,param_units3,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,4685.97753608,30.4957385063,0.798004129305,0.808327597847,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",2,0.793186510462,0.80867171345,0.802821748148,0.807983482245,103.024034858,0.30176448822,0.00481761884296,0.000344115602338
1,1870.48518407,12.244258523,0.799724707563,0.812629043256,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",1,0.795251204487,0.820715760537,0.80419821064,0.804542325975,40.4554029703,0.38564646244,0.00447350307653,0.00808671728053
2,6506.81121206,40.4502364397,0.796283551212,0.801445285554,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",5,0.79284239484,0.803509979107,0.799724707584,0.799380592002,13.3132710457,0.974591374397,0.00344115637207,0.0020646935525
3,3908.38238597,29.5142946243,0.797660013703,0.807639366766,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",3,0.792498279504,0.812112869719,0.802821747902,0.803165863812,20.9622120857,0.174783468246,0.00516173419916,0.00447350295346
4,5253.53511751,33.7073165178,0.79645560888,0.81056434956,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",4,0.794562972954,0.813145216588,0.798348244805,0.807983482532,83.091065526,0.176253437996,0.00189263592567,0.00258086702779
0,4464.04973197,30.4980185032,0.810392291872,0.814349621391,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",3,0.802477632567,0.825533379256,0.818306951177,0.803165863525,5.51335597038,0.0910964012146,0.00791465930502,0.0111837578657
1,1758.73932695,13.126506567,0.814865794825,0.823984858831,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",1,0.809359944983,0.828630419862,0.820371644668,0.819339297799,1.31032013893,0.244392633438,0.00550584984252,0.00464556103153
2,6526.24550164,41.1940044165,0.81022023406,0.815037852636,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",4,0.802477632567,0.820371644914,0.817962835554,0.809704060359,19.8914774656,0.572112441063,0.0077426014936,0.00533379227723
3,3739.49863505,28.652050972,0.811940812174,0.818995182299,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",2,0.805230557549,0.828286304239,0.818651066799,0.809704060359,5.62124490738,0.504204034805,0.00671025462505,0.00929112194
4,5294.12630093,34.9166874886,0.808327597991,0.816242257316,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",5,0.804198210394,0.822780454274,0.812456985588,0.809704060359,6.54764902592,0.292170524597,0.00412938759726,0.0065381969572
