,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_class_weight,param_penalty,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0829285383224,0.00150752067566,0.673531134101,0.672555143471,0.01,,l1,"{'penalty': 'l1', 'C': 0.01, 'class_weight': None}",19,0.684755026352,0.678899082569,0.66230724185,0.666211204372,0.0600966215134,7.24792480469e-05,0.0112238922506,0.00634393909818
1,0.0423339605331,0.00151705741882,0.677923091938,0.684755026352,0.01,,l2,"{'penalty': 'l2', 'C': 0.01, 'class_weight': None}",18,0.683583837595,0.687682998243,0.672262346281,0.68182705446,0.00559103488922,2.19345092773e-05,0.00566074565684,0.00292797189147
2,0.0238035917282,0.0014853477478,0.664259223111,0.664259223111,0.01,balanced,l1,"{'penalty': 'l1', 'C': 0.01, 'class_weight': 'balanced'}",20,0.666211204372,0.66230724185,0.66230724185,0.666211204372,0.000852465629578,3.14712524414e-05,0.00195198126098,0.00195198126098
3,0.0402265787125,0.0015230178833,0.686121413234,0.682217450712,0.01,balanced,l2,"{'penalty': 'l2', 'C': 0.01, 'class_weight': 'balanced'}",17,0.685731016982,0.679094280695,0.686511809487,0.68534062073,0.0013245344162,5.00679016113e-06,0.000390396252196,0.00312317001757
4,0.0385410785675,0.00153243541718,0.727308217841,0.727991411282,0.1,,l1,"{'penalty': 'l1', 'C': 0.1, 'class_weight': None}",3,0.727308217841,0.724575444076,0.727308217841,0.731407378489,0.000885009765625,1.54972076416e-06,0.0,0.00341596720671
5,0.0688859224319,0.00156605243683,0.719988288112,0.720964278743,0.1,,l2,"{'penalty': 'l2', 'C': 0.1, 'class_weight': None}",16,0.721647472184,0.71735311341,0.718329104041,0.724575444076,0.00367486476898,1.49011611938e-05,0.00165918407183,0.00361116533281
6,0.0381144285202,0.00155305862427,0.7266250244,0.729552996291,0.1,balanced,l1,"{'penalty': 'l1', 'C': 0.1, 'class_weight': 'balanced'}",9,0.727113019715,0.725746632832,0.726137029085,0.73335935975,0.000505566596985,2.28881835938e-05,0.000487995315245,0.00380636345891
7,0.0680655241013,0.00151491165161,0.721257075932,0.723013859067,0.1,balanced,l2,"{'penalty': 'l2', 'C': 0.1, 'class_weight': 'balanced'}",15,0.721647472184,0.720085887175,0.72086667968,0.725941830958,0.00323951244354,1.81198120117e-05,0.000390396252196,0.00292797189147
8,0.0779045820236,0.00155746936798,0.727893812219,0.72984579348,1,,l1,"{'penalty': 'l1', 'C': 1, 'class_weight': None}",1,0.728089010346,0.72886980285,0.727698614093,0.730821784111,0.0144134759903,1.15633010864e-05,0.000195198126098,0.00097599063049
9,0.112614631653,0.00151741504669,0.726820222526,0.729357798165,1,,l2,"{'penalty': 'l2', 'C': 1, 'class_weight': None}",8,0.726917821589,0.727698614093,0.726722623463,0.731016982237,0.0084855556488,1.54972076416e-06,9.7599063049e-05,0.00165918407183
10,0.073007941246,0.0015469789505,0.727503415967,0.730333788796,1,balanced,l1,"{'penalty': 'l1', 'C': 1, 'class_weight': 'balanced'}",2,0.726722623463,0.729065000976,0.728284208472,0.731602576615,0.0164800882339,2.98023223877e-06,0.000780792504392,0.00126878781964
11,0.111512541771,0.00151789188385,0.724965840328,0.72984579348,1,balanced,l2,"{'penalty': 'l2', 'C': 1, 'class_weight': 'balanced'}",14,0.724575444076,0.72886980285,0.72535623658,0.730821784111,0.00827944278717,1.2993812561e-05,0.000390396252196,0.00097599063049
12,1.22003400326,0.00161254405975,0.727308217841,0.72984579348,10,,l1,"{'penalty': 'l1', 'C': 10, 'class_weight': None}",3,0.729455397228,0.730821784111,0.725161038454,0.72886980285,0.339533925056,4.25577163696e-05,0.00214717938708,0.00097599063049
