,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.49877846241,0.0167235136032,0.827274915744,0.98375060183,10,{'n_estimators': 10},4,0.820173326914,0.986278285989,0.834376504574,0.98122291767,0.02319252491,1.34706497192e-05,0.00710158883004,0.00252768415985
1,4.78034198284,0.148854970932,0.835459797785,1.0,100,{'n_estimators': 100},2,0.828839672605,1.0,0.842079922966,1.0,0.203292012215,0.000447034835815,0.00662012518055,0.0
2,24.1036734581,0.752205967903,0.833774675012,1.0,500,{'n_estimators': 500},3,0.826913818007,1.0,0.840635532017,1.0,1.31376743317,0.00437700748444,0.0068608570053,0.0
3,48.3451864719,1.53215003014,0.835941261435,1.0,1000,{'n_estimators': 1000},1,0.829080404429,1.0,0.84280211844,1.0,2.07989954948,0.00420093536377,0.0068608570053,0.0
0,0.48080098629,0.0169730186462,0.83570052961,0.982426576793,10,{'n_estimators': 10},4,0.830524795378,0.980019258546,0.840876263842,0.984833895041,0.00412404537201,0.000353097915649,0.00517573423207,0.00240731824747
1,4.7854770422,0.157508969307,0.844126143476,1.0,100,{'n_estimators': 100},3,0.841357727492,1.0,0.846894559461,1.0,0.0375779867172,0.00683701038361,0.00276841598459,0.0
2,24.0456938744,0.744818091393,0.845931632162,1.0,500,{'n_estimators': 500},1,0.841116995667,1.0,0.850746268657,1.0,0.556035041809,0.0121349096298,0.00481463649494,0.0
3,47.799665451,1.76410543919,0.844487241213,1.0,1000,{'n_estimators': 1000},2,0.840635532017,1.0,0.848338950409,1.0,0.414678573608,0.416583418846,0.00385170919596,0.0
