,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_layers,param_optim,param_units1,param_units2,param_units3,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,2721.87054002,23.2816169262,0.774643763432,0.774448565305,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",2,0.771032598099,0.777669334386,0.778254928764,0.771227796225,0.492201924324,0.505941867828,0.00361116533281,0.00322076908062
1,1086.99205804,12.586583972,0.774350966242,0.780694905341,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",3,0.778254928764,0.784110872547,0.77044700372,0.777278938134,7.24111413956,0.126186966896,0.00390396252196,0.00341596720671
2,3956.68841195,31.2533099651,0.767128635577,0.774448565305,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",5,0.758930314281,0.767323833703,0.775326956873,0.781573296908,21.9915111065,1.55875396729,0.00819832129612,0.00712473160258
3,2501.08749652,24.7851449251,0.776400546566,0.780304509088,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",1,0.777083740008,0.777864532512,0.775717353125,0.782744485665,25.3724784851,0.233802914619,0.000683193441343,0.00243997657622
4,3419.22385955,28.9296509027,0.773374975612,0.778547725953,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",4,0.775326956873,0.780011711899,0.771422994351,0.777083740008,14.475020647,0.331504940987,0.00195198126098,0.00146398594573
0,2884.24071896,26.9904875755,0.760343481655,0.763953942233,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",4,0.7531225605,0.758196721311,0.76756440281,0.769711163154,3.32558000088,0.405599594116,0.00722092115535,0.00575722092116
1,1129.08119059,13.8587574959,0.767857142857,0.768540202966,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",3,0.778298204528,0.764832162373,0.757416081187,0.77224824356,8.77887964249,0.498005390167,0.0104410616706,0.00370804059329
2,4193.20959151,34.6788135767,0.755269320843,0.757416081187,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",5,0.75,0.756635441062,0.760538641686,0.758196721311,60.4198914766,0.603681445122,0.00526932084309,0.000780640124902
3,2440.75021911,25.2809540033,0.77068696331,0.773224043716,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",2,0.768345042935,0.766198282592,0.773028883685,0.78024980484,2.9951570034,0.455918908119,0.00234192037471,0.00702576112412
4,3340.29127038,27.0661650896,0.770784543326,0.774590163934,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",1,0.772833723653,0.766393442623,0.768735362998,0.782786885246,27.9388993979,0.636808991432,0.00204918032787,0.00819672131148
