,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.237026572227,0.0120339393616,0.753482202078,0.98120691806,10,{'n_estimators': 10},4,0.754641909814,0.980097302079,0.752321981424,0.982316534041,8.04662704468e-05,0.000441074371338,0.00115996416674,0.00110961598097
1,2.29435646534,0.10244846344,0.768074286978,1.0,100,{'n_estimators': 100},3,0.770114942529,1.0,0.766032728881,1.0,0.000462412834167,0.0015664100647,0.00204110677397,0.0
2,11.6453205347,0.50910949707,0.770506301128,1.0,500,{'n_estimators': 500},1,0.770557029178,1.0,0.770455550641,1.0,0.0951954126358,0.000419616699219,5.07392669648e-05,0.0
3,23.1531380415,1.01097548008,0.769843024541,1.0,1000,{'n_estimators': 1000},2,0.769230769231,1.0,0.770455550641,1.0,0.300558924675,0.00138342380524,0.000612390690303,0.0
0,0.233999371529,0.0118916034698,0.771611762105,0.982090700304,10,{'n_estimators': 10},4,0.77409372237,0.978328173375,0.769128704113,0.985853227233,0.0106555223465,6.43730163574e-06,0.00248250906751,0.00376252692896
1,2.27494156361,0.111070036888,0.793278797258,1.0,100,{'n_estimators': 100},1,0.793545534925,1.0,0.793011941619,1.0,0.0746215581894,0.00609910488129,0.000266796646525,0.0
2,11.6422635317,0.537655115128,0.788414768959,1.0,500,{'n_estimators': 500},3,0.790450928382,1.0,0.786377708978,1.0,0.547767519951,0.034539937973,0.00203660965204,0.0
3,22.765609026,1.01329290867,0.789962414327,1.0,1000,{'n_estimators': 1000},2,0.796198054819,1.0,0.783724015922,1.0,0.997166156769,0.105807900429,0.00623701929585,0.0
