,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.24913752079,0.0146740674973,0.756978333008,0.983408159282,10,{'n_estimators': 10},4,0.758930314269,0.981456178021,0.755026351747,0.985360140543,0.00111353397369,0.000179886817932,0.00195198126098,0.00195198126098
1,2.45242607594,0.132164478302,0.773472574663,0.998536014054,100,{'n_estimators': 100},3,0.774350966231,0.997657622487,0.772594183096,0.999414405622,0.0260568857193,0.00039267539978,0.000878391567441,0.000878391567441
2,12.2034235001,0.656155467033,0.776595744681,0.998536014054,500,{'n_estimators': 500},1,0.776498145618,0.997657622487,0.776693343744,0.999414405622,0.0515065193176,0.00319540500641,9.7599063049e-05,0.000878391567441
3,24.6179620028,1.34820747375,0.77591255124,0.998536014054,1000,{'n_estimators': 1000},2,0.775522154987,0.997657622487,0.776302947492,0.999414405622,0.147353053093,0.0345125198364,0.000390396252196,0.000878391567441
0,0.236732006073,0.0148123502731,0.750975800156,0.983508977361,10,{'n_estimators': 10},4,0.749024199844,0.982825917252,0.752927400468,0.984192037471,9.53674316406e-07,5.94854354858e-05,0.00195160031226,0.00068306010929
1,2.38807439804,0.134264588356,0.772540983607,0.998926619828,100,{'n_estimators': 100},3,0.769320843091,0.998633879781,0.775761124122,0.999219359875,0.0315475463867,0.00396144390106,0.00322014051522,0.000292740046838
2,11.9453824759,0.667327046394,0.775956284153,0.998926619828,500,{'n_estimators': 500},1,0.774004683841,0.998633879781,0.777907884465,0.999219359875,0.00628745555878,0.00255405902863,0.00195160031226,0.000292740046838
3,24.093667984,1.36926054955,0.773907103825,0.998926619828,1000,{'n_estimators': 1000},2,0.771272443404,0.998633879781,0.776541764247,0.999219359875,0.260151863098,0.0291533470154,0.00263466042155,0.000292740046838
