,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.694877505302,0.0185770988464,0.753562365801,0.984091352723,10,{'n_estimators': 10},4,0.749951200468,0.980089791138,0.757173531134,0.988092914308,0.0320426225662,9.53674316406e-07,0.00361116533281,0.00400156158501
1,6.72471797466,0.169656038284,0.773179777474,0.99873121218,100,{'n_estimators': 100},1,0.77239898497,0.998633613117,0.773960569979,0.998828811243,0.0137640237808,0.00941586494446,0.000780792504392,9.7599063049e-05
2,33.743673563,0.833479523659,0.773179777474,0.99873121218,500,{'n_estimators': 500},1,0.773765371852,0.998633613117,0.772594183096,0.998828811243,0.659734487534,0.019292473793,0.000585594378294,9.7599063049e-05
3,67.1033279896,1.59010052681,0.772984579348,0.99873121218,1000,{'n_estimators': 1000},3,0.772203786844,0.998633613117,0.773765371852,0.998828811243,0.605623960495,0.00645756721497,0.000780792504392,9.7599063049e-05
0,0.679263949394,0.0180640220642,0.756733021077,0.981167056987,10,{'n_estimators': 10},4,0.754879000781,0.983021077283,0.758587041374,0.97931303669,0.0116690397263,0.000324964523315,0.00185402029664,0.00185402029664
1,6.80688405037,0.169278502464,0.770394223263,0.998633879781,100,{'n_estimators': 100},3,0.774199843872,0.99843871975,0.766588602654,0.998829039813,0.0296120643616,0.00544035434723,0.0038056206089,0.000195160031226
2,34.1798549891,0.819413423538,0.772053083528,0.998633879781,500,{'n_estimators': 500},1,0.77712724434,0.99843871975,0.766978922717,0.998829039813,0.312239050865,0.0146515369415,0.00507416081187,0.000195160031226
3,68.2517139912,1.62104713917,0.771077283372,0.998633879781,1000,{'n_estimators': 1000},2,0.777322404372,0.99843871975,0.764832162373,0.998829039813,0.767115116119,0.0129860639572,0.00624512099922,0.000195160031226
