,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.662755846977,0.0182600021362,0.755611946125,0.982627366777,10,{'n_estimators': 10},4,0.747999219207,0.981846574273,0.763224673043,0.983408159282,0.0076299905777,0.000571012496948,0.00761272691782,0.000780792504392
1,6.50097048283,0.1686450243,0.77688854187,0.997852820613,100,{'n_estimators': 100},3,0.774936560609,0.997657622487,0.778840523131,0.998048018739,0.0324205160141,0.00115311145782,0.00195198126098,0.000195198126098
2,33.6377019882,0.858932971954,0.78040210814,0.997852820613,500,{'n_estimators': 500},2,0.776498145618,0.997657622487,0.784306070662,0.998048018739,0.337270975113,0.0403809547424,0.00390396252196,0.000195198126098
3,65.4732391834,1.66099488735,0.781475697833,0.997852820613,1000,{'n_estimators': 1000},1,0.779621315635,0.997657622487,0.783330080031,0.998048018739,0.346199989319,0.00433099269867,0.00185438219793,0.000195198126098
0,0.661302566528,0.0181823968887,0.755074160812,0.983216237315,10,{'n_estimators': 10},4,0.750780640125,0.986143637783,0.759367681499,0.980288836846,0.00685238838196,0.000235438346863,0.00429352068696,0.00292740046838
1,6.51217007637,0.166007518768,0.771955503513,0.99756049961,100,{'n_estimators': 100},3,0.773224043716,0.998048399688,0.77068696331,0.997072599532,0.00262904167175,0.0008385181427,0.00126854020297,0.000487900078064
2,32.8566654921,0.880533576012,0.774590163934,0.997658079625,500,{'n_estimators': 500},1,0.779274004684,0.998243559719,0.769906323185,0.997072599532,0.364889502525,0.0552796125412,0.00468384074941,0.000585480093677
3,65.5294039249,1.64778602123,0.77380952381,0.997658079625,1000,{'n_estimators': 1000},2,0.776932084309,0.998243559719,0.77068696331,0.997072599532,0.627347946167,6.49690628052e-05,0.00312256049961,0.000585480093677
