,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_layers,param_optim,param_units1,param_units2,param_units3,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,7442.16975951,49.1272500753,0.75268397424,0.755514347068,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",5,0.756392738641,0.762834276791,0.748975209838,0.748194417345,111.744801521,0.711339116096,0.00370876440168,0.00731992972286
1,2847.79799998,19.6913710833,0.785184462241,0.79123560415,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",1,0.783915674421,0.790747608835,0.78645325006,0.791723599465,13.383529067,0.534596085548,0.00126878781964,0.000487995315245
2,10578.3353361,65.9209820032,0.776888541882,0.77874292408,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",3,0.772008588729,0.774155768116,0.781768495034,0.783330080043,14.0554560423,0.196568131447,0.00487995315245,0.0045871559633
3,6336.36380041,48.3120825291,0.762053484298,0.772886980297,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",4,0.782744485665,0.789576420078,0.741362482932,0.756197540515,194.496898532,1.21100950241,0.0206910013664,0.0166894397814
4,8357.88615847,54.3643180132,0.780304509088,0.782939683791,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",2,0.779035721269,0.786062853808,0.781573296908,0.779816513773,1.9996535778,0.267037034035,0.00126878781964,0.00312317001757
0,7221.54622304,50.1039955616,0.742583918813,0.745608899297,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",4,0.7468774395,0.757806401249,0.738290398126,0.733411397346,5.64894688129,0.205654621124,0.00429352068696,0.0121975019516
1,2810.51729834,20.4373030663,0.772638563622,0.780542544887,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",2,0.775565964091,0.781420765027,0.769711163154,0.779664324746,2.33043348789,0.0226080417633,0.00292740046838,0.000878220140515
2,10391.797141,65.7014579773,0.735948477752,0.736533957845,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",5,0.733021077283,0.740632318501,0.73887587822,0.73243559719,33.6917408705,0.220318078995,0.00292740046838,0.00409836065574
3,5874.74367416,44.8516323566,0.765222482436,0.765612802498,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",3,0.761319281811,0.772053083528,0.76912568306,0.759172521468,15.5945919752,0.184128522873,0.00390320062451,0.00644028103044
4,8372.26524043,55.4499504566,0.778298204528,0.778395784543,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",1,0.777712724434,0.778103044496,0.778883684621,0.77868852459,51.8001544476,0.836621522903,0.000585480093677,0.000292740046838
