,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.271841049194,0.0122075080872,0.764520574916,0.980508089551,10,{'n_estimators': 10},4,0.764960629921,0.98109491926,0.764080346593,0.979921259843,0.00343108177185,0.000308513641357,0.000440141655525,0.000586829708516
1,2.83860957623,0.13931453228,0.778893482969,1.0,100,{'n_estimators': 100},3,0.776377952756,1.0,0.781410003939,1.0,0.163617491722,0.00805246829987,0.00251602554256,0.0
2,14.2773720026,0.603279471397,0.782634376846,1.0,500,{'n_estimators': 500},1,0.785039370079,1.0,0.780228436392,1.0,0.792703986168,0.0573245286942,0.00240546679661,0.0
3,27.229554534,1.13497400284,0.781256152786,1.0,1000,{'n_estimators': 1000},2,0.781496062992,1.0,0.78101614809,1.0,0.115367531776,0.0241041183472,0.000239957446512,0.0
0,0.27147758007,0.0125849246979,0.783028155149,0.984248247031,10,{'n_estimators': 10},4,0.776377952756,0.98109491926,0.789680976763,0.987401574803,0.00661051273346,9.53674316406e-07,0.00665151187438,0.0031533277718
1,2.87140250206,0.120687842369,0.79858239811,1.0,100,{'n_estimators': 100},3,0.792519685039,1.0,0.804647499015,1.0,0.092232465744,0.00282800197601,0.00606390687046,0.0
2,13.6463536024,0.561272382736,0.801141957078,1.0,500,{'n_estimators': 500},1,0.796062992126,1.0,0.80622292241,1.0,0.589754462242,0.00705456733704,0.00507996504374,0.0
3,26.6861430407,1.06220805645,0.800157511321,1.0,1000,{'n_estimators': 1000},2,0.795669291339,1.0,0.804647499015,1.0,1.55065500736,0.0554848909378,0.00448910375138,0.0
