,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.20290851593,0.014594912529,0.753952762053,0.98174897521,10,{'n_estimators': 10},4,0.753659964864,0.981846574273,0.754245559243,0.981651376147,0.00152444839478,3.70740890503e-05,0.000292797189147,9.7599063049e-05
1,2.0620623827,0.144477128983,0.775717353113,0.998536014054,100,{'n_estimators': 100},3,0.774546164357,0.997657622487,0.77688854187,0.999414405622,0.022856593132,0.00100708007812,0.00117118875659,0.000878391567441
2,10.1201164722,0.658176541328,0.778254928753,0.998536014054,500,{'n_estimators': 500},1,0.778840523131,0.997657622487,0.777669334374,0.999414405622,0.199242591858,0.00720942020416,0.000585594378294,0.000878391567441
3,20.4857640266,1.3373554945,0.776010150303,0.998536014054,1000,{'n_estimators': 1000},2,0.776498145618,0.997657622487,0.775522154987,0.999414405622,0.0206711292267,0.0178114175797,0.000487995315245,0.000878391567441
0,0.203433990479,0.014902472496,0.754586260734,0.98175253708,10,{'n_estimators': 10},4,0.754293520687,0.982045277127,0.754879000781,0.981459797034,0.00448203086853,0.000275492668152,0.000292740046838,0.000292740046838
1,1.97323095798,0.12914955616,0.770296643247,0.998926619828,100,{'n_estimators': 100},3,0.766393442623,0.998633879781,0.774199843872,0.999219359875,0.00739014148712,0.00051748752594,0.00390320062451,0.000292740046838
2,9.95915102959,0.664041042328,0.774297423888,0.998926619828,500,{'n_estimators': 500},2,0.76912568306,0.998633879781,0.779469164715,0.999219359875,0.111440896988,0.0118598937988,0.00517174082748,0.000292740046838
3,20.1606154442,1.33530664444,0.77468774395,0.998926619828,1000,{'n_estimators': 1000},1,0.769320843091,0.998633879781,0.780054644809,0.999219359875,0.0895645618439,0.0268394947052,0.0053669008587,0.000292740046838
