,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.336027145386,0.0150589942932,0.778561596696,0.979181004818,10,{'n_estimators': 10},4,0.770818995182,0.981761871989,0.786304198211,0.976600137646,0.0150370597839,0.00126099586487,0.00774260151411,0.00258086717137
1,3.13960194588,0.113762140274,0.79232622161,1.0,100,{'n_estimators': 100},1,0.790777701308,1.0,0.793874741913,1.0,0.0132100582123,0.00133800506592,0.00154852030282,0.0
2,15.443928957,0.596536517143,0.791465932553,1.0,500,{'n_estimators': 500},2,0.788368891948,1.0,0.794562973159,1.0,0.291115999222,0.026048541069,0.00309704060564,0.0
3,31.3519511223,1.19098699093,0.79112181693,1.0,1000,{'n_estimators': 1000},3,0.787336545079,1.0,0.794907088782,1.0,0.487926006317,0.0389419794083,0.00378527185134,0.0
0,0.328613042831,0.0148963928223,0.798004129387,0.983654507915,10,{'n_estimators': 10},4,0.793186510668,0.984514796972,0.802821748107,0.982794218858,0.00273203849792,0.000896453857422,0.00481761871989,0.000860289057123
1,3.05776703358,0.119721055031,0.811424638679,0.999827942189,100,{'n_estimators': 100},3,0.802821748107,1.0,0.82002752925,0.999655884377,0.0495740175247,0.00427806377411,0.00860289057123,0.000172057811425
2,15.6501159668,0.564995408058,0.81400550585,1.0,500,{'n_estimators': 500},2,0.803509979353,1.0,0.824501032347,1.0,0.274569988251,0.015473484993,0.0104955264969,0.0
3,30.6602795124,1.10030198097,0.815037852719,1.0,1000,{'n_estimators': 1000},1,0.804542326222,1.0,0.825533379215,1.0,0.0227446556091,0.0100600719452,0.0104955264969,0.0
