,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_layers,param_optim,param_units1,param_units2,param_units3,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,14450.1942985,103.670921445,0.91480671043,0.915487469068,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",2,0.915199844403,0.915288854309,0.914413538222,0.915686083828,74.6396656036,0.441957592964,0.000393153090159,0.000198614759588
1,5671.68181551,43.2440134287,0.914758084124,0.915292949653,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",3,0.915588835943,0.914802567594,0.913927251507,0.915783331713,12.0703915358,0.146417498589,0.000830792216683,0.000490382059341
2,21064.896219,139.475444078,0.915049841965,0.915049811025,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",1,0.915686083828,0.914413538222,0.914413538222,0.915686083828,147.187788963,0.346632003784,0.000636272802018,0.000636272802771
3,12004.5112031,93.472089529,0.911062484804,0.909992533231,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",5,0.909364971312,0.906438436102,0.912760163392,0.913546630361,74.0576980114,0.703952550888,0.00169759603822,0.00355409712943
4,16961.4873246,115.79480505,0.91281303185,0.912861667409,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",4,0.914032869785,0.913051935421,0.911593075277,0.912671399397,0.590989470482,0.470679044724,0.00121989725251,0.000190268012031
0,14235.9148901,104.244482994,0.915876489181,0.915584655475,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",2,0.917436545755,0.91402450885,0.914316280879,0.917144802101,56.6183280945,1.89890789986,0.00156013243612,0.00156014662507
1,5577.49521685,44.0848865509,0.916751762704,0.917286583312,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",1,0.918311776719,0.915872398366,0.915191596966,0.918700768258,85.3607549667,0.945893526077,0.0015600898748,0.00141418494611
2,20499.4691304,137.466330528,0.915487478726,0.91587639913,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",3,0.917436545755,0.91402450885,0.913538222136,0.91772828941,23.1901224852,2.79144454002,0.00194916180737,0.00185189027964
3,11885.5525861,93.1769239902,0.912715779237,0.912715686814,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",5,0.914616357094,0.910815016534,0.910815016534,0.914616357094,105.630054951,0.717605113983,0.001900670278,0.00190067028024
4,16736.3843645,116.083215952,0.914028689521,0.914466285883,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",4,0.915005348634,0.913635479479,0.913051935421,0.915297092288,1.89621555805,2.31482005119,0.000976706605117,0.000830806404771
