,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_layers,param_optim,param_units1,param_units2,param_units3,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,6916.60119545,46.948500514,0.753952762059,0.754831153627,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",4,0.755026351759,0.756978333008,0.75287917236,0.752683974245,1.96272242069,0.280410408974,0.00107358969936,0.00214717938126
1,2656.46980095,18.1739679575,0.770251805588,0.776888541876,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",3,0.76146788992,0.774741362483,0.779035721257,0.779035721269,4.32627797127,0.0469230413437,0.00878391566859,0.0021471793929
2,10084.6825545,63.1935210228,0.775131758747,0.77991411283,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",2,0.767519031829,0.773570173726,0.782744485665,0.786258051934,20.3687055111,0.0699870586395,0.00761272691782,0.006343939104
3,5821.06876457,43.6952453852,0.665723209066,0.67704470038,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",5,0.749560804228,0.748389615471,0.581885613904,0.605699785288,4.90460050106,1.1892374754,0.083837595162,0.0713449150917
4,8242.555094,54.4129425287,0.781475697839,0.784598867857,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",1,0.782744485665,0.790942806949,0.780206910014,0.778254928764,6.87698411942,0.735555529594,0.00126878782545,0.00634393909237
0,7026.72513497,49.0186835527,0.747755659641,0.750097580016,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",3,0.750390320062,0.759367681499,0.745120999219,0.740827478532,4.10985195637,0.840663552284,0.00263466042155,0.00927010148322
1,2686.97505248,20.4954550266,0.683157689305,0.690085870414,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",5,0.721701795472,0.715066354411,0.644613583138,0.665105386417,12.0433503389,0.692070960999,0.0385441061671,0.0249804839969
2,10168.867425,64.5880709887,0.735167837627,0.735070257611,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",4,0.732045277127,0.736338797814,0.738290398126,0.733801717408,14.1599919796,0.188537955284,0.00312256049961,0.00126854020297
3,5834.01690757,44.2900509834,0.766588602654,0.76912568306,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",2,0.771272443404,0.782201405152,0.761904761905,0.756049960968,6.5354155302,0.00683403015137,0.00468384074941,0.0130757220921
4,8285.46282649,53.873973012,0.778005464481,0.773614363778,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",1,0.774785323966,0.776346604215,0.781225604996,0.770882123341,12.8501424789,0.233853936195,0.00322014051522,0.00273224043716
