,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_layers,param_optim,param_units1,param_units2,param_units3,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,921.974176526,13.9304409027,0.752488776114,0.755123950816,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",5,0.74995120048,0.749951200468,0.755026351747,0.760296701163,1.15295851231,0.0380229949951,0.00253757563346,0.00517275034741
1,375.678022027,10.2782875299,0.761565488977,0.768397423391,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",1,0.76244388055,0.76088229553,0.760687097404,0.775912551251,1.3424500227,0.177332520485,0.000878391573258,0.00751512786059
2,1334.33837998,16.7405399084,0.752976771429,0.75814952177,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",4,0.760491899289,0.755026351747,0.745461643568,0.761272691794,0.656108021736,0.102537989616,0.00751512786059,0.00312317002339
3,781.271865964,13.9835804701,0.757075932077,0.760589498347,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",3,0.767128635577,0.759125512395,0.747023228577,0.762053484298,1.09979403019,0.281952500343,0.0100527034999,0.00146398595155
4,1103.60232008,16.0704394579,0.757368729266,0.75814952177,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",2,0.759711106785,0.74585203982,0.755026351747,0.77044700372,0.45337998867,0.304052472115,0.00234237751899,0.01229748195
0,921.625862479,15.5978649855,0.747950819672,0.747950819672,3,rmsprop,78,170,135,"{'layers': 3, 'optim': 'rmsprop', 'units3': 135, 'units2': 170, 'units1': 78}",3,0.739266198283,0.756635441062,0.756635441062,0.739266198283,1.1526144743,0.0405470132828,0.00868462138954,0.00868462138954
1,373.498448968,11.5366760492,0.723458235753,0.725019516003,1,rmsprop,166,185,138,"{'layers': 1, 'optim': 'rmsprop', 'units3': 138, 'units2': 185, 'units1': 166}",5,0.727166276347,0.733801717408,0.71975019516,0.716237314598,0.412860035896,0.062322974205,0.00370804059329,0.00878220140515
2,1326.729967,17.9513294697,0.747950819672,0.747950819672,3,rmsprop,163,167,215,"{'layers': 3, 'optim': 'rmsprop', 'units3': 215, 'units2': 167, 'units1': 163}",3,0.739266198283,0.756635441062,0.756635441062,0.739266198283,0.477786898613,0.0827734470367,0.00868462138954,0.00868462138954
3,778.447678924,15.1420800686,0.749316939891,0.749414519906,3,adagrad,116,65,151,"{'layers': 3, 'optim': 'adagrad', 'units3': 151, 'units2': 65, 'units1': 116}",2,0.745901639344,0.752341920375,0.752732240437,0.746487119438,0.283424019814,0.00686693191528,0.00341530054645,0.00292740046838
4,1096.03105843,16.672399044,0.756733021077,0.75644028103,2,adagrad,193,255,251,"{'layers': 2, 'optim': 'adagrad', 'units3': 251, 'units2': 255, 'units1': 193}",1,0.752732240437,0.76112412178,0.760733801717,0.751756440281,1.31823551655,0.221046924591,0.00400078064012,0.00468384074941
